PERMNO,date,TICKER,PRC,ewretd
92611,20090416,V,58.07,0.020373
92611,20090417,V,58,0.013755
92611,20090420,V,55,-0.042003
92611,20090421,V,58.63,0.02902
92611,20090422,V,57.51,0.005406
92611,20090423,V,58.23,0.001729
92611,20090424,V,60.38,0.021507
92611,20090427,V,58.87,-0.01169
92611,20090428,V,60.71,0.005018
92611,20090429,V,63.51,0.028567
92611,20090430,V,64.96,0.004244
92611,20090501,V,65.01,0.008472
92611,20090504,V,68.2,0.037638
92611,20090505,V,67.39,0.002787
92611,20090506,V,66.19,0.015218
92611,20090507,V,65.53,-0.011281
92611,20090508,V,68.43,0.033986
92611,20090511,V,65.93,-0.006809
92611,20090512,V,65.22,-0.005772
92611,20090513,V,64.47,-0.036948
92611,20090514,V,64.52,0.013597
92611,20090515,V,65.07,-0.008198
92611,20090518,V,66.41,0.034462
92611,20090519,V,64.8,0.004847
92611,20090520,V,64.96,0.000386
92611,20090521,V,66.28,-0.013909
92611,20090522,V,65.75,0.000888
92611,20090526,V,66.77,0.027228
92611,20090527,V,65.92,-0.010079
92611,20090528,V,66.5,0.008296
92611,20090529,V,67.71,0.014973
92611,20090601,V,66.66,0.029234
92611,20090602,V,66.81,0.006477
92611,20090603,V,68.23,-0.010874
92611,20090604,V,69.52,0.019881
92611,20090605,V,69.28,0.001207
92611,20090608,V,69.8,-0.003553
92611,20090609,V,68.63,0.008719
92611,20090610,V,69.27,-0.002291
92611,20090611,V,66.72,0.01081
92611,20090612,V,64.36,-0.002603
92611,20090615,V,64.43,-0.023409
92611,20090616,V,62.46,-0.011482
92611,20090617,V,61.35,-0.001874
92611,20090618,V,61.41,0.003136
92611,20090619,V,61.37,0.006317
92611,20090622,V,61.24,-0.033322
92611,20090623,V,62.67,-0.00268
92611,20090624,V,61.09,0.008663
92611,20090625,V,61.95,0.021953
92611,20090626,V,63.82,0.009696
92611,20090629,V,62.98,0.00262
92611,20090630,V,62.26,-0.001692
92611,20090701,V,60.8,0.011727
92611,20090702,V,60.08,-0.02453
92611,20090706,V,60.67,-0.008867
92611,20090707,V,59.71,-0.015998
